time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4915,0.301,0.317,0.3484,joyful,0.38,0.0
0.083333,N2,0.4794,0.2594,0.2851,0.3499,melancholic,0.428,0.0
0.166667,N2,0.4488,0.3009,0.2681,0.3305,neutral,0.431,0.0
0.25,N2,0.45,0.2381,0.2705,0.318,neutral,0.422,0.0
0.333333,N2,0.4338,0.3312,0.2745,0.3408,fearful,0.421,0.0
0.416667,N3,0.2934,0.1739,0.2078,0.3311,neutral,0.35,0.0
0.5,N3,0.3008,0.1906,0.1902,0.3159,neutral,0.35,0.0
0.583333,N3,0.3096,0.2267,0.228,0.3193,neutral,0.35,0.0
0.666667,N3,0.2922,0.1781,0.2161,0.2765,fearful,0.35,0.0
0.75,N3,0.2584,0.2008,0.1843,0.2747,anxious,0.345,0.0
0.833333,N2,0.4569,0.2884,0.2726,0.2685,joyful,0.468,0.0
0.916667,N2,0.4636,0.2685,0.2922,0.2986,fearful,0.454,0.0
