ach,cortisol,ne,serotonin,stage,time_hours
0.462,0.2707,0.2823,0.3001,N2,0.966667
0.4463,0.3076,0.3068,0.3447,N2,0.975
0.4607,0.2558,0.2749,0.2933,N2,0.983333
0.4281,0.2848,0.2606,0.3342,N2,0.991667
0.4367,0.2767,0.2427,0.3285,N2,1.0
0.4271,0.2812,0.2536,0.3094,N2,1.008333
0.4701,0.2896,0.2756,0.323,N2,1.016667
0.4563,0.2591,0.2682,0.3493,N2,1.025
0.4435,0.2682,0.2959,0.3309,N2,1.033333
0.4626,0.275,0.263,0.3409,N2,1.041667
0.4572,0.2598,0.2545,0.3099,N2,1.05
0.4746,0.2583,0.2558,0.3476,N2,1.058333
0.4836,0.2402,0.2756,0.3707,N2,1.066667
0.4637,0.2634,0.2739,0.3595,N2,1.075
0.4432,0.2804,0.2969,0.3318,N2,1.083333
0.4957,0.2779,0.2768,0.3156,N2,1.091667
0.4356,0.2781,0.2937,0.3356,N2,1.1
0.4303,0.2511,0.2417,0.362,N2,1.108333
0.4596,0.2296,0.3025,0.3515,N2,1.116667
0.4465,0.2526,0.2446,0.3502,N2,1.125
0.4282,0.257,0.2697,0.3238,N2,1.133333
0.4338,0.2644,0.2745,0.334,N2,1.141667
0.4229,0.2504,0.2631,0.3339,N2,1.15
0.4293,0.2226,0.2781,0.3201,N2,1.158333
0.4581,0.26,0.2803,0.3249,N2,1.166667
0.4589,0.2632,0.2703,0.3197,N2,1.175
0.4236,0.281,0.2972,0.3128,N2,1.183333
0.4095,0.2714,0.2606,0.3348,N2,1.191667
0.4405,0.264,0.3106,0.313,N2,1.2
0.4113,0.2671,0.3047,0.3101,N2,1.208333
0.4897,0.2395,0.2948,0.2953,N2,1.216667
0.4394,0.2714,0.2863,0.341,N2,1.225
0.4267,0.259,0.265,0.3439,N2,1.233333
0.4378,0.2523,0.2672,0.3107,N2,1.241667
0.438,0.2662,0.2521,0.3603,N2,1.25
0.4779,0.2878,0.2839,0.3355,N2,1.258333
0.48,0.2403,0.2739,0.3092,N2,1.266667
0.4169,0.2719,0.2524,0.3563,N2,1.275
0.4716,0.2298,0.2557,0.3044,N2,1.283333
0.4724,0.2202,0.2771,0.3367,N2,1.291667
0.4086,0.2351,0.2682,0.3196,N2,1.3
0.4613,0.2606,0.3234,0.3399,N2,1.308333
0.4413,0.226,0.2934,0.3468,N2,1.316667
0.4217,0.2697,0.2645,0.3638,N2,1.325
0.4345,0.2425,0.2583,0.3241,N2,1.333333
0.4799,0.2419,0.3023,0.3253,N2,1.341667
0.4522,0.2451,0.2741,0.3393,N2,1.35
0.4332,0.2449,0.2823,0.3196,N2,1.358333
0.8923,0.2685,0.0357,0.0496,REM,1.366667
0.92,0.2491,0.038,0.0353,REM,1.375
0.8954,0.2233,0.0291,0.0948,REM,1.383333
0.8839,0.2183,0.0636,0.0315,REM,1.391667
0.8964,0.2402,0.0321,0.0637,REM,1.4
0.9092,0.2376,0.0382,0.0598,REM,1.408333
0.9084,0.2414,0.088,0.0643,REM,1.416667
0.9022,0.2152,0.0159,0.097,REM,1.425
0.8948,0.2325,0.0067,0.045,REM,1.433333
0.9,0.263,0.0712,0.0531,REM,1.441667
0.8875,0.2422,0.0492,0.0722,REM,1.45
0.8906,0.2307,0.0816,0.0473,REM,1.458333
0.9013,0.2329,0.0933,0.0629,REM,1.466667
0.9158,0.2215,0.0934,0.08,REM,1.475
0.8745,0.2379,0.0708,0.0451,REM,1.483333
0.8708,0.2556,0.0459,0.0801,REM,1.491667
0.475,0.2386,0.2865,0.3406,N1,1.5
0.4763,0.2481,0.3267,0.3665,N1,1.508333
0.4789,0.2316,0.3015,0.3325,N1,1.516667
0.5264,0.241,0.2582,0.3683,N1,1.525
0.4339,0.2403,0.3035,0.3207,N2,1.533333
0.4461,0.2149,0.3006,0.3339,N2,1.541667
0.4358,0.2096,0.2929,0.3407,N2,1.55
0.4766,0.2092,0.2648,0.3487,N2,1.558333
0.4728,0.2166,0.3072,0.3299,N2,1.566667
0.4579,0.2474,0.3,0.3271,N2,1.575
0.4469,0.2422,0.2825,0.3341,N2,1.583333
0.4203,0.2216,0.2759,0.3273,N2,1.591667
0.4909,0.2348,0.2989,0.3222,N2,1.6
0.4663,0.2019,0.2561,0.326,N2,1.608333
0.4463,0.2581,0.255,0.3154,N2,1.616667
0.4854,0.2334,0.2919,0.2863,N2,1.625
0.4503,0.2094,0.2651,0.3358,N2,1.633333
0.4535,0.2228,0.2927,0.3112,N2,1.641667
0.4559,0.2563,0.3108,0.352,N2,1.65
0.4627,0.2211,0.2511,0.3428,N2,1.658333
0.48,0.2273,0.2554,0.3594,N2,1.666667
0.4821,0.2479,0.3002,0.3739,N2,1.675
0.4456,0.2254,0.2553,0.3329,N2,1.683333
0.4604,0.2416,0.2745,0.3026,N2,1.691667
0.4266,0.1831,0.2986,0.3111,N2,1.7
0.4747,0.2306,0.2503,0.3629,N2,1.708333
0.4926,0.2102,0.2861,0.3473,N2,1.716667
0.4534,0.2171,0.2465,0.3447,N2,1.725
0.4335,0.2175,0.3103,0.2812,N2,1.733333
0.476,0.2519,0.2969,0.3316,N2,1.741667
0.4628,0.2307,0.2635,0.3627,N2,1.75
0.4442,0.1837,0.2692,0.3368,N2,1.758333
0.4521,0.2043,0.2804,0.3275,N2,1.766667
0.4461,0.2083,0.2942,0.3147,N2,1.775
0.429,0.2495,0.2651,0.298,N2,1.783333
0.4454,0.2242,0.2887,0.3241,N2,1.791667
0.4501,0.2339,0.2669,0.3468,N2,1.8
0.4578,0.2019,0.269,0.3339,N2,1.808333
0.4624,0.2158,0.2994,0.3238,N2,1.816667
0.4588,0.21,0.3132,0.3702,N2,1.825
0.4642,0.1764,0.2852,0.3266,N2,1.833333
0.4983,0.2112,0.2952,0.3371,N2,1.841667
0.456,0.2347,0.3113,0.368,N2,1.85
0.4735,0.1728,0.2894,0.3622,N2,1.858333
0.4743,0.1617,0.2485,0.3395,N2,1.866667
0.4242,0.1813,0.259,0.3433,N2,1.875
0.2977,0.2008,0.1954,0.2239,N3,1.883333
0.2963,0.23,0.1912,0.2345,N3,1.891667
0.3226,0.2024,0.2035,0.2548,N3,1.9
0.3174,0.1904,0.1998,0.2177,N3,1.908333
0.2792,0.1703,0.2306,0.2182,N3,1.916667
0.2988,0.225,0.1913,0.2409,N3,1.925
0.3109,0.2087,0.164,0.2053,N3,1.933333
0.2679,0.1612,0.1987,0.2465,N3,1.941667
0.2809,0.203,0.1682,0.2163,N3,1.95
0.2951,0.1882,0.2194,0.2066,N3,1.958333
0.322,0.1892,0.1648,0.2699,N3,1.966667
0.3081,0.2114,0.2154,0.2499,N3,1.975
0.3191,0.1967,0.2227,0.2257,N3,1.983333
0.3168,0.1816,0.2334,0.2478,N3,1.991667
0.2618,0.2052,0.2156,0.2304,N3,2.0
0.288,0.1896,0.1743,0.2758,N3,2.008333
0.2963,0.1557,0.182,0.2889,N3,2.016667
0.3034,0.137,0.2403,0.2268,N3,2.025
0.3353,0.1892,0.2193,0.2971,N3,2.033333
0.3054,0.1657,0.2349,0.2227,N3,2.041667
0.3443,0.1949,0.2173,0.2535,N3,2.05
0.3116,0.1816,0.2334,0.2593,N3,2.058333
0.3019,0.1895,0.1999,0.221,N3,2.066667
0.2797,0.1683,0.2294,0.2518,N3,2.075
0.3062,0.1797,0.1913,0.2583,N3,2.083333
0.2997,0.178,0.1879,0.2089,N3,2.091667
0.3088,0.1617,0.1903,0.2226,N3,2.1
0.2958,0.2116,0.1933,0.2046,N3,2.108333
0.2907,0.1687,0.1849,0.2358,N3,2.116667
0.3,0.1903,0.2256,0.2168,N3,2.125
0.295,0.192,0.1843,0.2266,N3,2.133333
0.31,0.1614,0.1708,0.243,N3,2.141667
0.3134,0.1969,0.2013,0.232,N3,2.15
0.3021,0.2094,0.1706,0.2764,N3,2.158333
0.28,0.1567,0.1738,0.2708,N3,2.166667
0.3181,0.154,0.231,0.2255,N3,2.175
0.2837,0.1746,0.1983,0.2061,N3,2.183333
0.3067,0.1609,0.2205,0.2201,N3,2.191667
0.2708,0.1719,0.1924,0.2331,N3,2.2
0.2795,0.2139,0.2158,0.2087,N3,2.208333
0.3076,0.1693,0.2107,0.24,N3,2.216667
0.2789,0.1926,0.1979,0.2669,N3,2.225
0.31,0.1802,0.1974,0.2191,N3,2.233333
0.3191,0.1919,0.1921,0.2236,N3,2.241667
0.3186,0.1603,0.2454,0.2694,N3,2.25
0.3186,0.1777,0.2203,0.2275,N3,2.258333
0.3061,0.1439,0.1953,0.2576,N3,2.266667
0.3193,0.1707,0.1929,0.2284,N3,2.275
0.3248,0.1686,0.1764,0.2543,N3,2.283333
0.2974,0.1678,0.1963,0.2288,N3,2.291667
0.4387,0.1649,0.2924,0.3799,N2,2.3
0.4744,0.1825,0.2884,0.3573,N2,2.308333
0.451,0.1921,0.2794,0.3482,N2,2.316667
0.5035,0.1542,0.296,0.3768,N2,2.325
0.426,0.1655,0.2852,0.3475,N2,2.333333
0.4591,0.14,0.2735,0.3554,N2,2.341667
0.4285,0.1468,0.3133,0.3578,N2,2.35
0.442,0.1462,0.3016,0.3407,N2,2.358333
0.4523,0.2009,0.3026,0.3311,N2,2.366667
0.4273,0.1521,0.2685,0.2952,N2,2.375
0.4491,0.1702,0.2927,0.364,N2,2.383333
0.4374,0.1783,0.2902,0.3624,N2,2.391667
0.4761,0.1357,0.2699,0.3614,N2,2.4
0.4465,0.1403,0.3071,0.3255,N2,2.408333
0.4556,0.1789,0.2872,0.3279,N2,2.416667
0.4576,0.163,0.2857,0.3177,N2,2.425
0.4392,0.1785,0.2831,0.3636,N2,2.433333
0.449,0.1613,0.2973,0.3303,N2,2.441667
0.4709,0.1741,0.2569,0.3539,N2,2.45
0.4521,0.1393,0.2484,0.3329,N2,2.458333
0.4524,0.1561,0.262,0.3294,N2,2.466667
0.4782,0.1816,0.293,0.35,N2,2.475
0.433,0.1412,0.2788,0.3433,N2,2.483333
0.4237,0.1725,0.2499,0.3578,N2,2.491667
0.4343,0.1356,0.288,0.3922,N2,2.5
0.4396,0.1248,0.2911,0.3352,N2,2.508333
0.4549,0.0928,0.2611,0.3271,N2,2.516667
0.4415,0.107,0.309,0.314,N2,2.525
0.4694,0.13,0.3386,0.322,N2,2.533333
0.4419,0.1549,0.2529,0.2927,N2,2.541667
0.4285,0.1467,0.254,0.3514,N2,2.55
0.475,0.1278,0.2849,0.3406,N2,2.558333
0.4804,0.107,0.2845,0.3366,N2,2.566667
0.4695,0.1456,0.2749,0.3263,N2,2.575
0.4397,0.1556,0.2496,0.3479,N2,2.583333
0.4528,0.1235,0.264,0.3055,N2,2.591667
0.4199,0.0964,0.3003,0.3505,N2,2.6
0.4114,0.1613,0.2493,0.3612,N2,2.608333
0.4154,0.0963,0.3049,0.3237,N2,2.616667
0.4432,0.1211,0.3002,0.3161,N2,2.625
0.4451,0.1197,0.2838,0.3206,N2,2.633333
0.4666,0.1253,0.2767,0.3376,N2,2.641667
0.4481,0.1564,0.3137,0.3486,N2,2.65
0.4911,0.1466,0.2747,0.3329,N2,2.658333
0.4368,0.1286,0.2745,0.3499,N2,2.666667
0.4447,0.1159,0.2598,0.3302,N2,2.675
0.4632,0.1499,0.318,0.3425,N2,2.683333
0.4265,0.1406,0.2624,0.3382,N2,2.691667
0.447,0.1466,0.2606,0.3151,N2,2.7
0.4862,0.1114,0.2736,0.3516,N2,2.708333
0.4738,0.1243,0.2708,0.3416,N2,2.716667
0.4096,0.0929,0.3051,0.3374,N2,2.725
0.4634,0.1553,0.28,0.347,N2,2.733333
0.4491,0.135,0.2959,0.3636,N2,2.741667
0.8864,0.1116,0.0734,0.0684,REM,2.75
0.8967,0.1167,0.0684,0.0389,REM,2.758333
0.9063,0.1623,0.0439,0.0371,REM,2.766667
0.877,0.1295,0.068,0.0316,REM,2.775
0.9025,0.1185,0.0419,0.1131,REM,2.783333
0.9005,0.1137,0.0468,0.0449,REM,2.791667
0.912,0.1169,0.0685,0.0647,REM,2.8
0.9033,0.1219,0.0623,0.0397,REM,2.808333
0.9246,0.1456,0.0799,0.0645,REM,2.816667
0.9108,0.1486,0.0577,0.0243,REM,2.825
0.8975,0.1372,0.0252,0.0225,REM,2.833333
0.8795,0.1289,0.0373,0.0534,REM,2.841667
0.9101,0.1473,0.0,0.0777,REM,2.85
0.9205,0.1164,0.0663,0.0334,REM,2.858333
0.8737,0.1569,0.0258,0.0747,REM,2.866667
0.9036,0.1274,0.056,0.0754,REM,2.875
0.8988,0.1309,0.0896,0.0413,REM,2.883333
0.9348,0.1633,0.0851,0.0497,REM,2.891667
0.8923,0.1395,0.0435,0.0324,REM,2.9
0.922,0.142,0.0382,0.0429,REM,2.908333
0.8951,0.1336,0.0447,0.0412,REM,2.916667
0.8503,0.1655,0.0437,0.0707,REM,2.925
0.9246,0.1515,0.0433,0.052,REM,2.933333
0.9149,0.1302,0.0605,0.0631,REM,2.941667
0.5046,0.1166,0.2982,0.3584,N1,2.95
0.4924,0.1607,0.3287,0.3967,N1,2.958333
0.4754,0.1478,0.2896,0.3602,N1,2.966667
0.4893,0.1947,0.3101,0.3431,N1,2.975
0.4915,0.1393,0.2982,0.3784,N1,2.983333
0.5033,0.1336,0.2947,0.3328,N1,2.991667
0.4407,0.1272,0.2782,0.3623,N2,3.0
0.4328,0.1726,0.2506,0.3187,N2,3.008333
0.4295,0.1875,0.2941,0.3353,N2,3.016667
0.4604,0.157,0.2768,0.361,N2,3.025
0.4435,0.1533,0.3059,0.3226,N2,3.033333
0.455,0.1723,0.2697,0.3492,N2,3.041667
0.4478,0.1288,0.2515,0.3171,N2,3.05
0.4462,0.1758,0.2664,0.329,N2,3.058333
0.4876,0.1631,0.2448,0.3476,N2,3.066667
0.4645,0.1247,0.2447,0.3332,N2,3.075
0.4331,0.1789,0.2967,0.3312,N2,3.083333
0.4247,0.1728,0.2646,0.3431,N2,3.091667
0.4333,0.1628,0.3003,0.3448,N2,3.1
0.4447,0.1512,0.3024,0.3091,N2,3.108333
0.4808,0.173,0.2779,0.3242,N2,3.116667
0.4541,0.134,0.2838,0.3066,N2,3.125
0.4467,0.128,0.2604,0.2941,N2,3.133333
0.4396,0.1638,0.2598,0.3482,N2,3.141667
0.4474,0.1812,0.2639,0.3374,N2,3.15
0.4123,0.1495,0.2518,0.3271,N2,3.158333
0.4683,0.1865,0.2616,0.3132,N2,3.166667
0.488,0.1805,0.3021,0.3635,N2,3.175
0.4519,0.1902,0.2606,0.3609,N2,3.183333
0.4186,0.1552,0.2875,0.3509,N2,3.191667
0.4363,0.1952,0.2454,0.3494,N2,3.2
0.4619,0.1563,0.2702,0.3115,N2,3.208333
0.4375,0.1573,0.2954,0.363,N2,3.216667
0.4646,0.167,0.2897,0.3204,N2,3.225
0.4341,0.195,0.2748,0.3428,N2,3.233333
0.4137,0.202,0.3049,0.3525,N2,3.241667
0.4488,0.1417,0.2726,0.3372,N2,3.25
0.4483,0.157,0.314,0.325,N2,3.258333
0.4336,0.1529,0.3035,0.3301,N2,3.266667
0.4618,0.1523,0.2772,0.3166,N2,3.275
0.4525,0.1952,0.2742,0.3589,N2,3.283333
0.4946,0.2054,0.2801,0.3273,N2,3.291667
0.4503,0.1736,0.2582,0.3579,N2,3.3
0.4326,0.1631,0.261,0.3536,N2,3.308333
0.4406,0.1677,0.2507,0.3835,N2,3.316667
0.4767,0.2073,0.2776,0.3521,N2,3.325
0.4826,0.1481,0.2718,0.3711,N2,3.333333
0.4283,0.1802,0.2991,0.3188,N2,3.341667
0.4459,0.1404,0.271,0.3363,N2,3.35
0.4334,0.1827,0.2834,0.3327,N2,3.358333
0.3173,0.1714,0.2009,0.2244,N3,3.366667
0.3065,0.1715,0.2521,0.2373,N3,3.375
0.3,0.1394,0.2171,0.2513,N3,3.383333
0.2789,0.1833,0.2119,0.2303,N3,3.391667
0.3192,0.1489,0.2097,0.2515,N3,3.4
