source,target,weight
mem::childhood_home,mem::school_corridor,0.993
mem::childhood_home,mem::familiar_face,0.9716
mem::childhood_home,mem::recurring_journey,0.9905
mem::childhood_home,mem::falling,0.7997
mem::childhood_home,mem::being_chased,0.8508
mem::childhood_home,mem::flying,0.5855
mem::childhood_home,mem::being_late,0.8376
mem::childhood_home,mem::teeth_loosening,0.8599
mem::childhood_home,mem::cold_water,0.9691
mem::childhood_home,mem::bright_light,0.8837
mem::childhood_home,mem::loud_crowd,0.9147
mem::childhood_home,mem::grief,0.5823
mem::childhood_home,mem::joy,0.524
mem::childhood_home,mem::dread,0.5309
mem::childhood_home,mem::wonder,0.7313
mem::school_corridor,mem::familiar_face,0.9715
mem::school_corridor,mem::recurring_journey,0.989
mem::school_corridor,mem::falling,0.8524
mem::school_corridor,mem::being_chased,0.9035
mem::school_corridor,mem::flying,0.5121
mem::school_corridor,mem::being_late,0.9109
mem::school_corridor,mem::teeth_loosening,0.9189
mem::school_corridor,mem::cold_water,0.978
mem::school_corridor,mem::bright_light,0.8873
mem::school_corridor,mem::loud_crowd,0.9664
mem::school_corridor,mem::grief,0.6726
mem::school_corridor,mem::joy,0.4384
mem::school_corridor,mem::dread,0.6165
mem::school_corridor,mem::wonder,0.6774
mem::familiar_face,mem::recurring_journey,0.9863
mem::familiar_face,mem::falling,0.7343
mem::familiar_face,mem::being_chased,0.7709
mem::familiar_face,mem::flying,0.7349
mem::familiar_face,mem::being_late,0.7907
mem::familiar_face,mem::teeth_loosening,0.7686
mem::familiar_face,mem::cold_water,0.9734
mem::familiar_face,mem::bright_light,0.9726
mem::familiar_face,mem::loud_crowd,0.9212
mem::familiar_face,mem::grief,0.4879
mem::familiar_face,mem::joy,0.6725
mem::familiar_face,mem::dread,0.3948
mem::familiar_face,mem::wonder,0.8613
mem::recurring_journey,mem::falling,0.7522
mem::recurring_journey,mem::being_chased,0.8099
mem::recurring_journey,mem::flying,0.659
mem::recurring_journey,mem::being_late,0.8294
mem::recurring_journey,mem::teeth_loosening,0.8433
mem::recurring_journey,mem::cold_water,0.9702
mem::recurring_journey,mem::bright_light,0.9465
mem::recurring_journey,mem::loud_crowd,0.9302
mem::recurring_journey,mem::grief,0.5256
mem::recurring_journey,mem::joy,0.5742
mem::recurring_journey,mem::dread,0.4576
mem::recurring_journey,mem::wonder,0.7769
mem::falling,mem::being_chased,0.9887
mem::falling,mem::flying,0.5919
mem::falling,mem::being_late,0.957
mem::falling,mem::teeth_loosening,0.9338
mem::falling,mem::cold_water,0.8641
mem::falling,mem::bright_light,0.5876
mem::falling,mem::loud_crowd,0.8834
mem::falling,mem::grief,0.9355
mem::falling,mem::joy,0.151
mem::falling,mem::dread,0.8959
mem::falling,mem::wonder,0.4261
mem::being_chased,mem::flying,0.5567
mem::being_chased,mem::being_late,0.9584
mem::being_chased,mem::teeth_loosening,0.9598
mem::being_chased,mem::cold_water,0.8871
mem::being_chased,mem::bright_light,0.6476
mem::being_chased,mem::loud_crowd,0.9257
mem::being_chased,mem::grief,0.9221
mem::being_chased,mem::dread,0.8875
mem::being_chased,mem::wonder,0.4203
mem::flying,mem::being_late,0.6728
mem::flying,mem::teeth_loosening,0.617
mem::flying,mem::cold_water,0.5892
mem::flying,mem::bright_light,0.7907
mem::flying,mem::loud_crowd,0.4214
mem::flying,mem::joy,0.961
mem::flying,mem::wonder,0.9367
mem::being_late,mem::teeth_loosening,0.9842
mem::being_late,mem::cold_water,0.8701
mem::being_late,mem::bright_light,0.7202
mem::being_late,mem::loud_crowd,0.9648
mem::being_late,mem::grief,0.8812
mem::being_late,mem::dread,0.8379
mem::being_late,mem::wonder,0.3896
mem::teeth_loosening,mem::cold_water,0.844
mem::teeth_loosening,mem::bright_light,0.7124
mem::teeth_loosening,mem::loud_crowd,0.9389
mem::teeth_loosening,mem::grief,0.8277
mem::teeth_loosening,mem::dread,0.8036
mem::teeth_loosening,mem::wonder,0.344
mem::cold_water,mem::bright_light,0.9567
mem::cold_water,mem::loud_crowd,0.9787
mem::cold_water,mem::grief,0.6526
mem::cold_water,mem::joy,0.5578
mem::cold_water,mem::dread,0.5761
mem::cold_water,mem::wonder,0.7799
mem::bright_light,mem::loud_crowd,0.9488
mem::bright_light,mem::grief,0.3432
mem::bright_light,mem::joy,0.6786
mem::bright_light,mem::dread,0.2442
mem::bright_light,mem::wonder,0.8442
mem::loud_crowd,mem::grief,0.7559
mem::loud_crowd,mem::joy,0.3394
mem::loud_crowd,mem::dread,0.6851
mem::loud_crowd,mem::wonder,0.6085
mem::grief,mem::joy,0.3619
mem::grief,mem::dread,0.9944
mem::grief,mem::wonder,0.5434
mem::joy,mem::dread,0.2955
mem::joy,mem::wonder,0.9726
mem::dread,mem::wonder,0.478
