time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.666667,N3,0.2811,0.1518,0.1854,0.2796,curious,0.35,0.0
0.675,N3,0.2745,0.1653,0.1945,0.3071,curious,0.323,0.0
0.683333,N3,0.3272,0.2111,0.201,0.2894,neutral,0.35,0.0
0.691667,N3,0.2634,0.2141,0.2149,0.3193,neutral,0.313,0.0
0.7,N3,0.2819,0.1785,0.2021,0.3099,neutral,0.35,0.0
0.708333,N3,0.3124,0.1535,0.201,0.2822,joyful,0.35,0.0
0.716667,N3,0.2873,0.1748,0.205,0.252,neutral,0.317,0.0
0.725,N3,0.2906,0.1838,0.1966,0.2858,curious,0.349,0.0
0.733333,N3,0.2682,0.1747,0.1786,0.2816,curious,0.35,0.0
0.741667,N3,0.3,0.2013,0.1874,0.2619,curious,0.35,0.0
0.75,N3,0.3037,0.2182,0.1908,0.2803,neutral,0.317,0.0
0.758333,N3,0.2913,0.1721,0.2243,0.2848,neutral,0.35,0.0
0.766667,N3,0.2693,0.1705,0.1669,0.276,joyful,0.35,0.0
0.775,N3,0.2673,0.174,0.2067,0.3203,neutral,0.323,0.0
0.783333,N3,0.2669,0.1719,0.2289,0.2573,curious,0.341,0.0
0.791667,N3,0.2836,0.1989,0.1718,0.298,anxious,0.304,0.0
0.8,N3,0.3511,0.1677,0.2005,0.3023,neutral,0.35,0.0
0.808333,N3,0.2981,0.1696,0.201,0.2707,anxious,0.35,0.0
0.816667,N3,0.2888,0.1613,0.1702,0.2971,melancholic,0.35,0.0
0.825,N3,0.3087,0.1878,0.1934,0.2776,joyful,0.35,0.0
0.833333,N3,0.3362,0.2202,0.2266,0.2454,neutral,0.34,0.0
0.841667,N3,0.308,0.2004,0.2117,0.2481,joyful,0.35,0.0
0.85,N3,0.2887,0.1815,0.2065,0.3036,neutral,0.35,0.0
0.858333,N3,0.3273,0.1933,0.2098,0.2834,anxious,0.35,0.0
0.866667,N2,0.4706,0.2659,0.3509,0.2732,neutral,0.39,0.0
0.875,N2,0.4435,0.252,0.2861,0.2859,joyful,0.389,0.0
0.883333,N2,0.4554,0.2762,0.2439,0.2959,neutral,0.393,0.0
0.891667,N2,0.4468,0.2141,0.2673,0.2797,joyful,0.4,0.0
0.9,N2,0.4337,0.268,0.2741,0.3117,fearful,0.422,0.0
0.908333,N2,0.4534,0.2789,0.3391,0.2712,neutral,0.406,0.0
0.916667,N2,0.4365,0.2745,0.3047,0.3048,joyful,0.339,0.0
0.925,N2,0.4556,0.2327,0.275,0.3214,anxious,0.395,0.0
0.933333,N2,0.4475,0.2554,0.2655,0.2657,joyful,0.444,0.0
0.941667,N2,0.4562,0.2517,0.2641,0.2817,neutral,0.413,0.0
0.95,N2,0.4532,0.2541,0.2778,0.2979,curious,0.429,0.0
0.958333,N2,0.4519,0.2512,0.2945,0.2486,anxious,0.433,0.0
0.966667,N2,0.4468,0.2748,0.2907,0.2803,neutral,0.356,0.0
0.975,N2,0.4261,0.2431,0.272,0.274,joyful,0.398,0.0
0.983333,N2,0.4098,0.2698,0.3058,0.2769,neutral,0.346,0.0
0.991667,N2,0.4425,0.2393,0.2808,0.2873,joyful,0.405,0.0
1.0,N2,0.4574,0.2718,0.2536,0.2669,fearful,0.384,0.0
1.008333,N2,0.4395,0.276,0.2468,0.2503,neutral,0.393,0.0
1.016667,N2,0.4437,0.2572,0.2592,0.2427,serene,0.37,0.0
1.025,N2,0.469,0.227,0.2933,0.2762,melancholic,0.373,0.0
1.033333,N2,0.4844,0.283,0.2768,0.257,serene,0.426,0.0
1.041667,N2,0.476,0.2719,0.2687,0.2667,curious,0.342,0.0
1.05,N2,0.4421,0.2209,0.2724,0.2669,curious,0.386,0.0
1.058333,N2,0.461,0.2666,0.2724,0.266,joyful,0.44,0.0
1.066667,N2,0.4466,0.2544,0.3012,0.2511,melancholic,0.399,0.0
1.075,N2,0.4438,0.253,0.2697,0.265,neutral,0.383,0.0
1.083333,N2,0.4741,0.2643,0.2826,0.2293,neutral,0.397,0.0
1.091667,N2,0.4705,0.2757,0.2658,0.2684,curious,0.372,0.0
1.1,N2,0.449,0.2234,0.2743,0.2529,neutral,0.444,0.0
1.108333,N2,0.429,0.2439,0.2602,0.2397,neutral,0.423,0.0
1.116667,N2,0.4423,0.2445,0.2966,0.2722,joyful,0.38,0.0
1.125,N2,0.4625,0.2708,0.2971,0.2913,curious,0.452,0.0
1.133333,N2,0.505,0.2562,0.3012,0.2813,serene,0.455,0.0
1.141667,N2,0.4105,0.2054,0.25,0.2107,melancholic,0.429,0.0
1.15,N2,0.4516,0.2543,0.3101,0.2529,joyful,0.39,0.0
1.158333,N2,0.4841,0.2644,0.2995,0.2528,curious,0.39,0.0
1.166667,N2,0.4438,0.2477,0.2309,0.2561,joyful,0.399,0.0
1.175,N2,0.4435,0.2571,0.2739,0.2346,neutral,0.36,0.0
1.183333,N2,0.4392,0.2886,0.2537,0.2335,neutral,0.399,0.0
1.191667,N2,0.4456,0.2459,0.2953,0.2639,anxious,0.364,0.0
1.2,N2,0.4244,0.2578,0.2889,0.2471,joyful,0.384,0.0
1.208333,N2,0.4589,0.2499,0.2295,0.2409,fearful,0.386,0.0
1.216667,N2,0.4616,0.2366,0.3102,0.2659,curious,0.413,0.0
1.225,N2,0.4358,0.2262,0.2686,0.3104,anxious,0.411,0.0
1.233333,N2,0.5116,0.2551,0.288,0.2558,curious,0.4,0.0
1.241667,N2,0.4391,0.2748,0.2767,0.243,serene,0.413,0.0
1.25,N2,0.4494,0.2675,0.2546,0.2268,curious,0.376,0.0
1.258333,N2,0.4551,0.2744,0.3013,0.2291,curious,0.364,0.0
1.266667,N2,0.461,0.2701,0.2838,0.236,joyful,0.404,0.0
1.275,N2,0.4609,0.2403,0.2836,0.2475,neutral,0.43,0.0
1.283333,REM,0.9091,0.059,0.0527,0.2242,curious,0.856,0.4108
1.291667,REM,0.9089,0.0252,0.0666,0.2326,curious,0.881,0.4879
1.3,REM,0.926,0.0106,0.0551,0.269,neutral,0.906,0.5364
1.308333,REM,0.8733,0.06,0.012,0.2551,neutral,0.863,0.5835
