ach,cortisol,ne,serotonin,stage,time_hours
0.479,0.3655,0.3097,0.2969,N1,0.0
0.4911,0.3504,0.3295,0.3433,N1,0.008333
0.5302,0.3678,0.2875,0.3164,N1,0.016667
0.5141,0.3171,0.2985,0.2936,N1,0.025
0.5015,0.3443,0.2892,0.3009,N1,0.033333
0.5427,0.3168,0.3031,0.3159,N1,0.041667
0.5261,0.3472,0.2871,0.2785,N1,0.05
0.517,0.3528,0.3029,0.3072,N1,0.058333
0.4726,0.3267,0.3069,0.2736,N1,0.066667
0.4867,0.3263,0.3056,0.3483,N1,0.075
0.4343,0.3875,0.2472,0.2864,N2,0.083333
0.453,0.3518,0.2717,0.2485,N2,0.091667
0.4158,0.3362,0.2767,0.2446,N2,0.1
0.4385,0.3269,0.2711,0.3072,N2,0.108333
0.4679,0.3606,0.2539,0.3093,N2,0.116667
0.4525,0.3514,0.3205,0.2528,N2,0.125
0.4548,0.3475,0.2708,0.2929,N2,0.133333
0.4687,0.3308,0.2786,0.2477,N2,0.141667
0.4355,0.3127,0.2716,0.2313,N2,0.15
0.4488,0.3505,0.3038,0.2981,N2,0.158333
0.4361,0.3536,0.2867,0.3048,N2,0.166667
0.4496,0.3455,0.2967,0.2779,N2,0.175
0.4661,0.3486,0.3137,0.2744,N2,0.183333
0.4663,0.3395,0.2921,0.3002,N2,0.191667
0.4494,0.3204,0.3095,0.292,N2,0.2
0.4343,0.3594,0.2541,0.3121,N2,0.208333
0.501,0.3478,0.285,0.2952,N2,0.216667
0.4105,0.3439,0.3102,0.2883,N2,0.225
0.4185,0.3496,0.2664,0.2791,N2,0.233333
0.4385,0.3377,0.2674,0.2508,N2,0.241667
0.4357,0.3511,0.2777,0.2459,N2,0.25
0.4261,0.3168,0.2723,0.2581,N2,0.258333
0.4344,0.3242,0.3023,0.3066,N2,0.266667
0.444,0.3196,0.2762,0.2572,N2,0.275
0.4413,0.3512,0.2723,0.2888,N2,0.283333
0.474,0.3105,0.2676,0.2649,N2,0.291667
0.4346,0.3434,0.274,0.3104,N2,0.3
0.4508,0.3544,0.2613,0.2836,N2,0.308333
0.4309,0.3456,0.2806,0.2905,N2,0.316667
0.479,0.3169,0.2716,0.3032,N2,0.325
0.4745,0.3222,0.2732,0.2689,N2,0.333333
0.4363,0.3203,0.2776,0.3022,N2,0.341667
0.3048,0.3338,0.214,0.1486,N3,0.35
0.3131,0.3042,0.1858,0.219,N3,0.358333
0.3339,0.3115,0.1878,0.2091,N3,0.366667
0.3019,0.3305,0.1836,0.2133,N3,0.375
0.3093,0.3263,0.2079,0.1845,N3,0.383333
0.3204,0.3415,0.2086,0.213,N3,0.391667
0.3072,0.3268,0.1901,0.2206,N3,0.4
0.3039,0.3205,0.185,0.202,N3,0.408333
0.3073,0.3345,0.1988,0.1961,N3,0.416667
0.2797,0.2838,0.2125,0.1794,N3,0.425
0.2987,0.3278,0.2446,0.2338,N3,0.433333
0.3458,0.3188,0.2262,0.1672,N3,0.441667
0.3351,0.2801,0.2317,0.1824,N3,0.45
0.2882,0.3308,0.2112,0.2128,N3,0.458333
0.3224,0.305,0.1987,0.1852,N3,0.466667
0.2945,0.331,0.1867,0.1917,N3,0.475
