time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.4941,0.2658,0.3001,0.327,melancholic,0.377,0.0
0.008333,N1,0.4821,0.2932,0.3012,0.3264,joyful,0.36,0.0
0.016667,N1,0.4962,0.3059,0.2841,0.3503,neutral,0.394,0.0
0.025,N1,0.5216,0.3057,0.2746,0.337,joyful,0.356,0.0
0.033333,N1,0.4502,0.3157,0.284,0.3489,neutral,0.378,0.0
0.041667,N1,0.541,0.3301,0.301,0.355,curious,0.352,0.0
0.05,N1,0.5407,0.3088,0.2703,0.312,anxious,0.348,0.0
0.058333,N1,0.4742,0.3279,0.326,0.3315,serene,0.363,0.0
0.066667,N1,0.4828,0.2967,0.2949,0.3678,serene,0.387,0.0
0.075,N1,0.4827,0.3123,0.3113,0.3568,anxious,0.362,0.0
0.083333,N1,0.4585,0.3139,0.2998,0.3558,anxious,0.364,0.0
0.091667,N1,0.4957,0.3231,0.2779,0.3529,neutral,0.326,0.0
0.1,N2,0.4926,0.255,0.2992,0.3535,neutral,0.446,0.0
0.108333,N2,0.4403,0.2751,0.2869,0.3571,neutral,0.426,0.0
0.116667,N2,0.4423,0.2726,0.2803,0.3358,curious,0.39,0.0
0.125,N2,0.4243,0.2942,0.234,0.3518,fearful,0.338,0.0
0.133333,N2,0.4426,0.2771,0.2466,0.3428,neutral,0.402,0.0
0.141667,N2,0.4529,0.2893,0.2974,0.3742,joyful,0.423,0.0
0.15,N2,0.4697,0.2852,0.2826,0.3438,melancholic,0.374,0.0
0.158333,N2,0.4392,0.2265,0.2604,0.3404,neutral,0.443,0.0
0.166667,N2,0.4788,0.2703,0.2335,0.3165,neutral,0.415,0.0
0.175,N2,0.4405,0.2549,0.2872,0.3534,curious,0.384,0.0
0.183333,N2,0.4734,0.2704,0.2762,0.3204,neutral,0.436,0.0
0.191667,N2,0.466,0.2639,0.3239,0.3497,neutral,0.43,0.0
0.2,N2,0.4477,0.2831,0.2672,0.3388,joyful,0.392,0.0
0.208333,N2,0.4472,0.3092,0.3006,0.342,neutral,0.368,0.0
0.216667,N2,0.4551,0.293,0.2556,0.3891,joyful,0.428,0.0
0.225,N2,0.4188,0.2506,0.2971,0.3478,curious,0.331,0.0
0.233333,N2,0.4256,0.2538,0.2822,0.2879,melancholic,0.395,0.0
0.241667,N2,0.4437,0.2821,0.3072,0.3484,melancholic,0.375,0.0
0.25,N2,0.4397,0.2348,0.2504,0.3315,joyful,0.333,0.0
0.258333,N2,0.4355,0.2511,0.2704,0.306,neutral,0.401,0.0
0.266667,N2,0.4795,0.3063,0.3008,0.3138,neutral,0.443,0.0
0.275,N2,0.4559,0.2866,0.3088,0.3377,melancholic,0.367,0.0
0.283333,N2,0.4604,0.2645,0.3092,0.3171,curious,0.398,0.0
0.291667,N2,0.463,0.2846,0.2665,0.3479,fearful,0.377,0.0
0.3,N2,0.4653,0.3028,0.2428,0.2895,curious,0.455,0.0
0.308333,N2,0.439,0.288,0.3122,0.2872,serene,0.386,0.0
0.316667,N2,0.4369,0.2916,0.2495,0.2972,neutral,0.415,0.0
0.325,N2,0.4236,0.2857,0.2738,0.3152,curious,0.447,0.0
0.333333,N2,0.4577,0.2794,0.3207,0.3157,neutral,0.457,0.0
0.341667,N2,0.4286,0.2685,0.2721,0.3381,curious,0.386,0.0
0.35,N2,0.447,0.2763,0.2771,0.3307,fearful,0.383,0.0
0.358333,N2,0.4407,0.2934,0.3066,0.3145,joyful,0.449,0.0
0.366667,N2,0.4347,0.2762,0.2699,0.3515,melancholic,0.397,0.0
0.375,N2,0.4169,0.2731,0.3156,0.3228,melancholic,0.347,0.0
0.383333,N2,0.4826,0.2794,0.2625,0.3473,curious,0.466,0.0
0.391667,N2,0.4181,0.2451,0.2488,0.3255,melancholic,0.405,0.0
0.4,N2,0.46,0.2926,0.2574,0.3343,neutral,0.328,0.0
0.408333,N2,0.463,0.3087,0.2979,0.3639,joyful,0.45,0.0
0.416667,N2,0.4328,0.2755,0.2573,0.3038,melancholic,0.403,0.0
0.425,N2,0.4205,0.3063,0.2825,0.286,neutral,0.39,0.0
0.433333,N2,0.4568,0.2753,0.2654,0.3046,melancholic,0.367,0.0
0.441667,N2,0.5028,0.2835,0.2846,0.2914,neutral,0.427,0.0
0.45,N2,0.4396,0.3056,0.3322,0.3309,melancholic,0.445,0.0
0.458333,N2,0.4208,0.2831,0.2926,0.3207,neutral,0.44,0.0
0.466667,N2,0.4421,0.2889,0.2901,0.3057,neutral,0.379,0.0
0.475,N2,0.4791,0.2809,0.2879,0.3018,joyful,0.393,0.0
0.483333,N2,0.4417,0.2744,0.2482,0.2725,neutral,0.422,0.0
0.491667,N2,0.496,0.2933,0.2713,0.3214,joyful,0.412,0.0
0.5,N3,0.3039,0.2081,0.2491,0.3064,joyful,0.35,0.0
0.508333,N3,0.3244,0.1733,0.2307,0.3249,neutral,0.35,0.0
0.516667,N3,0.2737,0.1551,0.2091,0.2926,melancholic,0.35,0.0
0.525,N3,0.3169,0.2158,0.1964,0.2562,curious,0.35,0.0
0.533333,N3,0.2923,0.1999,0.226,0.3098,curious,0.314,0.0
0.541667,N3,0.3172,0.1955,0.2219,0.3051,serene,0.35,0.0
0.55,N3,0.3068,0.1842,0.1729,0.2823,curious,0.339,0.0
0.558333,N3,0.3107,0.176,0.2292,0.3061,fearful,0.35,0.0
0.566667,N3,0.3192,0.155,0.2158,0.3108,joyful,0.336,0.0
0.575,N3,0.2974,0.1839,0.1888,0.3027,curious,0.35,0.0
0.583333,N3,0.3033,0.2507,0.1886,0.3051,neutral,0.35,0.0
0.591667,N3,0.2917,0.1923,0.2317,0.2867,neutral,0.35,0.0
0.6,N3,0.2906,0.1922,0.2071,0.3587,curious,0.308,0.0
0.608333,N3,0.2992,0.1962,0.1876,0.2839,joyful,0.35,0.0
0.616667,N3,0.3178,0.1783,0.183,0.2692,neutral,0.35,0.0
0.625,N3,0.2801,0.1871,0.2148,0.3022,anxious,0.35,0.0
0.633333,N3,0.3006,0.211,0.182,0.2673,joyful,0.35,0.0
0.641667,N3,0.3253,0.2119,0.2208,0.309,curious,0.342,0.0
0.65,N3,0.2613,0.2061,0.2117,0.3165,joyful,0.344,0.0
0.658333,N3,0.319,0.1925,0.1818,0.2934,neutral,0.35,0.0
0.666667,N3,0.2851,0.1906,0.1993,0.326,curious,0.35,0.0
0.675,N3,0.3222,0.1871,0.2287,0.2877,neutral,0.35,0.0
0.683333,N3,0.3033,0.1962,0.1996,0.2905,joyful,0.35,0.0
0.691667,N3,0.2614,0.1587,0.1947,0.2923,neutral,0.31,0.0
0.7,N3,0.3334,0.1781,0.2171,0.2511,joyful,0.35,0.0
0.708333,N3,0.2994,0.2062,0.1955,0.2915,curious,0.35,0.0
0.716667,N3,0.3097,0.1902,0.2269,0.3053,anxious,0.331,0.0
0.725,N3,0.3011,0.2107,0.2054,0.2676,melancholic,0.35,0.0
0.733333,N3,0.2931,0.1819,0.2067,0.2877,curious,0.35,0.0
0.741667,N3,0.3111,0.2352,0.2123,0.3106,anxious,0.35,0.0
0.75,N3,0.2999,0.2087,0.1908,0.2638,curious,0.35,0.0
0.758333,N3,0.27,0.2116,0.1714,0.3197,joyful,0.35,0.0
0.766667,N3,0.2938,0.2073,0.2163,0.2783,neutral,0.35,0.0
0.775,N3,0.2841,0.21,0.2034,0.2683,neutral,0.336,0.0
0.783333,N3,0.31,0.2296,0.1925,0.2818,neutral,0.35,0.0
0.791667,N3,0.3037,0.2026,0.2089,0.3182,neutral,0.35,0.0
0.8,N3,0.2789,0.1861,0.2231,0.3031,curious,0.35,0.0
0.808333,N3,0.2809,0.201,0.1934,0.2727,anxious,0.328,0.0
0.816667,N3,0.357,0.1855,0.1902,0.2419,neutral,0.35,0.0
0.825,N3,0.2994,0.1998,0.2296,0.2771,serene,0.338,0.0
0.833333,N3,0.2946,0.2315,0.1934,0.2468,neutral,0.35,0.0
0.841667,N3,0.2977,0.1981,0.2041,0.2884,anxious,0.35,0.0
0.85,N3,0.3136,0.2182,0.2197,0.2911,melancholic,0.31,0.0
0.858333,N3,0.3058,0.1841,0.1893,0.2853,curious,0.35,0.0
0.866667,N3,0.3185,0.1988,0.2542,0.2892,neutral,0.35,0.0
0.875,N3,0.326,0.2057,0.1968,0.2901,neutral,0.344,0.0
0.883333,N3,0.287,0.2407,0.2177,0.2519,joyful,0.35,0.0
0.891667,N3,0.2982,0.1923,0.1896,0.2802,serene,0.345,0.0
0.9,N3,0.3171,0.2502,0.1951,0.2729,curious,0.304,0.0
0.908333,N3,0.2979,0.2005,0.1998,0.2701,neutral,0.35,0.0
0.916667,N3,0.3512,0.1864,0.1674,0.2565,neutral,0.35,0.0
0.925,N3,0.3025,0.1834,0.1693,0.2925,melancholic,0.35,0.0
0.933333,N3,0.3023,0.2102,0.1965,0.2331,neutral,0.309,0.0
0.941667,N3,0.3088,0.2166,0.2251,0.2807,melancholic,0.35,0.0
0.95,N3,0.3134,0.1927,0.2074,0.2779,melancholic,0.35,0.0
0.958333,N3,0.286,0.2105,0.2037,0.2424,curious,0.309,0.0
0.966667,N3,0.3066,0.172,0.1993,0.3068,anxious,0.35,0.0
0.975,N3,0.3204,0.2028,0.1594,0.2762,melancholic,0.336,0.0
0.983333,N3,0.2804,0.2124,0.2174,0.2744,melancholic,0.319,0.0
0.991667,N3,0.2787,0.2188,0.1931,0.2695,curious,0.336,0.0
1.0,N3,0.3087,0.1987,0.2228,0.2841,curious,0.35,0.0
1.008333,N3,0.2938,0.2145,0.2017,0.2591,joyful,0.35,0.0
1.016667,N3,0.2925,0.193,0.1978,0.2678,neutral,0.317,0.0
1.025,N3,0.3184,0.1982,0.239,0.2392,curious,0.35,0.0
1.033333,N3,0.3057,0.1821,0.2198,0.2954,melancholic,0.35,0.0
1.041667,N3,0.3605,0.193,0.2094,0.2477,joyful,0.35,0.0
1.05,N3,0.2915,0.2193,0.1777,0.2893,melancholic,0.35,0.0
1.058333,N3,0.287,0.1864,0.2189,0.2599,curious,0.35,0.0
1.066667,N3,0.3026,0.1853,0.1802,0.291,joyful,0.35,0.0
1.075,N3,0.2725,0.1995,0.198,0.2664,neutral,0.302,0.0
1.083333,N2,0.4333,0.2633,0.2902,0.2922,neutral,0.456,0.0
1.091667,N2,0.468,0.3,0.2715,0.2731,neutral,0.386,0.0
1.1,N2,0.4695,0.2965,0.2736,0.2583,melancholic,0.43,0.0
1.108333,N2,0.4315,0.2881,0.3113,0.3159,fearful,0.381,0.0
1.116667,N2,0.4418,0.241,0.2666,0.2951,curious,0.435,0.0
1.125,N2,0.4776,0.2387,0.3002,0.2973,fearful,0.395,0.0
1.133333,N2,0.4636,0.2943,0.283,0.2524,curious,0.379,0.0
1.141667,N2,0.4654,0.2747,0.2625,0.251,curious,0.401,0.0
1.15,N2,0.4441,0.261,0.2612,0.2745,curious,0.381,0.0
1.158333,N2,0.4328,0.2852,0.292,0.2693,anxious,0.422,0.0
1.166667,N2,0.4229,0.2601,0.2698,0.2976,joyful,0.348,0.0
1.175,N2,0.4397,0.3041,0.3112,0.256,neutral,0.346,0.0
1.183333,N2,0.4708,0.2791,0.2808,0.2512,neutral,0.389,0.0
1.191667,N2,0.4344,0.2772,0.2433,0.2884,neutral,0.425,0.0
1.2,N2,0.472,0.2708,0.2919,0.2687,curious,0.401,0.0
1.208333,N2,0.4099,0.2784,0.2588,0.23,joyful,0.432,0.0
1.216667,N2,0.4359,0.2838,0.2689,0.2411,neutral,0.462,0.0
1.225,N2,0.4784,0.2835,0.2831,0.2668,neutral,0.37,0.0
1.233333,N2,0.4591,0.2727,0.28,0.2862,neutral,0.411,0.0
1.241667,N2,0.4225,0.2773,0.3238,0.2194,melancholic,0.349,0.0
1.25,N2,0.4535,0.2937,0.2863,0.2444,curious,0.474,0.0
1.258333,N2,0.4698,0.2758,0.2883,0.2935,joyful,0.452,0.0
1.266667,N2,0.4299,0.2699,0.2934,0.2378,curious,0.33,0.0
1.275,N2,0.4623,0.2769,0.2823,0.2181,melancholic,0.461,0.0
1.283333,N2,0.455,0.307,0.2896,0.2798,neutral,0.423,0.0
1.291667,N2,0.4622,0.2914,0.283,0.2602,joyful,0.407,0.0
1.3,N2,0.4356,0.255,0.2857,0.231,curious,0.376,0.0
