time_hours,stage,ach,serotonin,ne,cortisol,dominant_emotion,bizarreness_score,lucidity_probability
0.0,N1,0.5277,0.3014,0.3154,0.3176,curious,0.416,0.0
0.083333,N2,0.4169,0.2586,0.2905,0.3162,curious,0.474,0.0
0.166667,N2,0.4654,0.2834,0.296,0.3271,anxious,0.448,0.0
0.25,N2,0.4434,0.2703,0.2691,0.3356,neutral,0.408,0.0
0.333333,N2,0.4089,0.2545,0.2827,0.3292,curious,0.402,0.0
0.416667,N2,0.4725,0.3002,0.2969,0.2954,neutral,0.482,0.0
0.5,N3,0.3011,0.2396,0.2256,0.3113,neutral,0.35,0.0
0.583333,N3,0.3133,0.2302,0.209,0.2694,neutral,0.347,0.0
0.666667,N3,0.3252,0.204,0.1917,0.2977,neutral,0.35,0.0
0.75,N3,0.2918,0.2025,0.2236,0.3258,melancholic,0.35,0.0
0.833333,N3,0.2801,0.2431,0.1925,0.2793,anxious,0.35,0.0
0.916667,N3,0.3069,0.1991,0.1952,0.3034,joyful,0.35,0.0
