ach,cortisol,ne,serotonin,stage,time_hours
0.4943,0.353,0.2973,0.2946,N1,0.0
0.5053,0.3283,0.2836,0.2927,N1,0.008333
0.5046,0.3544,0.2975,0.315,N1,0.016667
0.5081,0.3555,0.2789,0.2843,N1,0.025
0.4701,0.3324,0.2863,0.3018,N1,0.033333
0.4988,0.3553,0.327,0.2855,N1,0.041667
0.4963,0.3587,0.2746,0.3394,N1,0.05
0.4752,0.3669,0.3223,0.2848,N1,0.058333
0.4365,0.3242,0.2965,0.2658,N2,0.066667
0.4044,0.3047,0.2885,0.3351,N2,0.075
0.4663,0.3446,0.2661,0.282,N2,0.083333
0.4608,0.2948,0.2861,0.2876,N2,0.091667
0.4817,0.3255,0.2924,0.2651,N2,0.1
0.4475,0.321,0.2951,0.2713,N2,0.108333
0.4439,0.3312,0.2997,0.267,N2,0.116667
0.4564,0.3477,0.3042,0.2743,N2,0.125
0.428,0.3546,0.2858,0.2668,N2,0.133333
0.4381,0.3415,0.2419,0.2672,N2,0.141667
0.4585,0.3312,0.2891,0.2751,N2,0.15
0.4345,0.2909,0.2747,0.2874,N2,0.158333
0.466,0.3579,0.2823,0.2592,N2,0.166667
0.4645,0.3567,0.2895,0.2554,N2,0.175
0.4308,0.3532,0.3012,0.2772,N2,0.183333
0.4327,0.331,0.2844,0.2765,N2,0.191667
0.4175,0.3387,0.283,0.2854,N2,0.2
0.4229,0.3237,0.2519,0.2976,N2,0.208333
0.4528,0.3042,0.2946,0.3019,N2,0.216667
0.4346,0.3347,0.2998,0.3134,N2,0.225
0.4406,0.3115,0.298,0.2913,N2,0.233333
0.4727,0.3304,0.2778,0.2791,N2,0.241667
0.4466,0.3175,0.2682,0.2695,N2,0.25
0.4371,0.3203,0.2273,0.2493,N2,0.258333
0.4073,0.3164,0.2829,0.2969,N2,0.266667
0.4248,0.3205,0.3094,0.2795,N2,0.275
0.4514,0.3163,0.2339,0.2886,N2,0.283333
0.467,0.3076,0.2413,0.3028,N2,0.291667
0.4091,0.2953,0.3105,0.2688,N2,0.3
0.444,0.3357,0.2892,0.288,N2,0.308333
0.4415,0.3108,0.2872,0.2631,N2,0.316667
0.4513,0.3201,0.2819,0.3075,N2,0.325
0.454,0.3042,0.2707,0.2601,N2,0.333333
0.4553,0.3315,0.2971,0.2799,N2,0.341667
0.3014,0.3082,0.1826,0.2245,N3,0.35
0.2912,0.3405,0.2113,0.2659,N3,0.358333
0.2695,0.3638,0.1937,0.2063,N3,0.366667
0.304,0.3189,0.2184,0.2114,N3,0.375
0.2853,0.2954,0.2088,0.2131,N3,0.383333
0.334,0.3023,0.2011,0.2008,N3,0.391667
0.3049,0.3519,0.1732,0.2091,N3,0.4
0.2998,0.2752,0.1754,0.1911,N3,0.408333
0.2929,0.2921,0.2195,0.2064,N3,0.416667
0.294,0.2863,0.1717,0.219,N3,0.425
0.2907,0.3389,0.1559,0.2267,N3,0.433333
0.3316,0.3271,0.2018,0.1926,N3,0.441667
0.2968,0.3366,0.2033,0.2002,N3,0.45
0.2928,0.3722,0.18,0.2586,N3,0.458333
0.3197,0.3119,0.1969,0.2154,N3,0.466667
0.3027,0.3083,0.1963,0.2083,N3,0.475
0.3035,0.3215,0.2004,0.1928,N3,0.483333
0.2674,0.283,0.1989,0.2201,N3,0.491667
0.3351,0.2735,0.1671,0.196,N3,0.5
0.2901,0.2773,0.1717,0.2225,N3,0.508333
0.3162,0.28,0.2059,0.2002,N3,0.516667
0.2981,0.3213,0.2399,0.1956,N3,0.525
0.2776,0.3411,0.1796,0.2013,N3,0.533333
0.3257,0.3168,0.2313,0.1759,N3,0.541667
0.3027,0.2801,0.1921,0.1952,N3,0.55
0.2827,0.3338,0.2012,0.2055,N3,0.558333
0.3007,0.2666,0.1824,0.1887,N3,0.566667
0.2921,0.2704,0.1773,0.2178,N3,0.575
0.2864,0.3042,0.2489,0.1583,N3,0.583333
0.3121,0.2794,0.1883,0.1843,N3,0.591667
0.308,0.3011,0.1974,0.2569,N3,0.6
0.3191,0.2957,0.2152,0.1854,N3,0.608333
0.3076,0.3152,0.1912,0.2077,N3,0.616667
0.322,0.3035,0.2227,0.197,N3,0.625
0.3208,0.2873,0.201,0.1844,N3,0.633333
0.2835,0.2946,0.1778,0.2242,N3,0.641667
0.327,0.3113,0.2059,0.2054,N3,0.65
0.2973,0.3092,0.2108,0.2175,N3,0.658333
0.3089,0.3141,0.195,0.1996,N3,0.666667
0.3165,0.3075,0.1699,0.2577,N3,0.675
0.3198,0.3163,0.21,0.187,N3,0.683333
0.301,0.2977,0.1703,0.1913,N3,0.691667
0.2834,0.2893,0.2213,0.1947,N3,0.7
0.2956,0.2851,0.2264,0.197,N3,0.708333
0.287,0.2872,0.1642,0.2017,N3,0.716667
0.3014,0.2795,0.2197,0.1784,N3,0.725
0.2698,0.2644,0.2046,0.1983,N3,0.733333
0.3192,0.3049,0.1771,0.1845,N3,0.741667
0.2618,0.2697,0.208,0.1622,N3,0.75
0.3072,0.3142,0.1799,0.1575,N3,0.758333
0.4669,0.2845,0.2847,0.2937,N2,0.766667
0.4654,0.2836,0.2877,0.2739,N2,0.775
0.4871,0.2704,0.2903,0.2348,N2,0.783333
0.443,0.2814,0.2556,0.3038,N2,0.791667
0.4738,0.2847,0.2791,0.2631,N2,0.8
0.4255,0.3101,0.2827,0.2783,N2,0.808333
0.4043,0.2612,0.2855,0.2528,N2,0.816667
0.4518,0.2821,0.2929,0.3069,N2,0.825
0.4132,0.2792,0.2371,0.2881,N2,0.833333
0.4278,0.2776,0.2905,0.3012,N2,0.841667
0.4473,0.2778,0.2829,0.2825,N2,0.85
0.4349,0.3225,0.2851,0.3395,N2,0.858333
0.4587,0.2546,0.2993,0.2632,N2,0.866667
0.44,0.3245,0.2737,0.3087,N2,0.875
0.4539,0.2758,0.2971,0.2872,N2,0.883333
0.4415,0.2592,0.2968,0.2513,N2,0.891667
0.457,0.249,0.2759,0.2779,N2,0.9
0.4853,0.2866,0.2713,0.2742,N2,0.908333
0.4794,0.2918,0.3004,0.2889,N2,0.916667
0.438,0.2727,0.2873,0.3044,N2,0.925
0.434,0.278,0.2796,0.312,N2,0.933333
0.4308,0.2743,0.299,0.2522,N2,0.941667
0.4381,0.2635,0.2716,0.2537,N2,0.95
0.4529,0.2823,0.2797,0.288,N2,0.958333
0.4636,0.2874,0.2841,0.2332,N2,0.966667
0.4646,0.2559,0.307,0.2633,N2,0.975
0.4359,0.2542,0.3032,0.2596,N2,0.983333
0.4681,0.3083,0.2835,0.2929,N2,0.991667
0.4791,0.2905,0.2928,0.2992,N2,1.0
0.4517,0.2747,0.2789,0.2543,N2,1.008333
0.4745,0.2765,0.2773,0.3048,N2,1.016667
0.4546,0.2963,0.3106,0.2702,N2,1.025
0.4763,0.3044,0.2916,0.2854,N2,1.033333
0.4422,0.2682,0.2516,0.2892,N2,1.041667
0.4513,0.2816,0.2715,0.3014,N2,1.05
0.4512,0.2688,0.2706,0.3166,N2,1.058333
0.4461,0.2627,0.2835,0.2936,N2,1.066667
0.4623,0.2589,0.2609,0.266,N2,1.075
0.462,0.2749,0.2665,0.3144,N2,1.083333
0.4519,0.2712,0.2677,0.253,N2,1.091667
0.4591,0.2247,0.3034,0.2513,N2,1.1
0.4311,0.2654,0.2607,0.2715,N2,1.108333
0.4295,0.2803,0.2635,0.3099,N2,1.116667
0.4672,0.2178,0.2634,0.2774,N2,1.125
0.438,0.2843,0.2481,0.2852,N2,1.133333
0.4582,0.2854,0.2613,0.2842,N2,1.141667
0.471,0.2849,0.2866,0.2617,N2,1.15
0.4523,0.2577,0.2852,0.2688,N2,1.158333
0.4389,0.2465,0.2891,0.2773,N2,1.166667
0.4669,0.2615,0.2762,0.2949,N2,1.175
0.4774,0.2354,0.2508,0.2665,N2,1.183333
0.4526,0.2509,0.2513,0.2731,N2,1.191667
