source,target,weight
mem::childhood_home,mem::school_corridor,0.9899
mem::childhood_home,mem::familiar_face,0.986
mem::childhood_home,mem::recurring_journey,0.988
mem::childhood_home,mem::falling,0.77
mem::childhood_home,mem::being_chased,0.8534
mem::childhood_home,mem::flying,0.5984
mem::childhood_home,mem::being_late,0.9138
mem::childhood_home,mem::teeth_loosening,0.8893
mem::childhood_home,mem::cold_water,0.9815
mem::childhood_home,mem::bright_light,0.9369
mem::childhood_home,mem::loud_crowd,0.948
mem::childhood_home,mem::grief,0.7184
mem::childhood_home,mem::joy,0.3711
mem::childhood_home,mem::dread,0.6778
mem::childhood_home,mem::wonder,0.7223
mem::school_corridor,mem::familiar_face,0.9642
mem::school_corridor,mem::recurring_journey,0.9846
mem::school_corridor,mem::falling,0.8097
mem::school_corridor,mem::being_chased,0.8948
mem::school_corridor,mem::flying,0.4826
mem::school_corridor,mem::being_late,0.9484
mem::school_corridor,mem::teeth_loosening,0.9503
mem::school_corridor,mem::cold_water,0.9867
mem::school_corridor,mem::bright_light,0.8894
mem::school_corridor,mem::loud_crowd,0.9526
mem::school_corridor,mem::grief,0.7333
mem::school_corridor,mem::joy,0.2276
mem::school_corridor,mem::dread,0.7015
mem::school_corridor,mem::wonder,0.6069
mem::familiar_face,mem::recurring_journey,0.9874
mem::familiar_face,mem::falling,0.6221
mem::familiar_face,mem::being_chased,0.7146
mem::familiar_face,mem::flying,0.7423
mem::familiar_face,mem::being_late,0.7984
mem::familiar_face,mem::teeth_loosening,0.7825
mem::familiar_face,mem::cold_water,0.929
mem::familiar_face,mem::bright_light,0.9878
mem::familiar_face,mem::loud_crowd,0.8674
mem::familiar_face,mem::grief,0.5637
mem::familiar_face,mem::joy,0.5511
mem::familiar_face,mem::dread,0.5156
mem::familiar_face,mem::wonder,0.8257
mem::recurring_journey,mem::falling,0.6759
mem::recurring_journey,mem::being_chased,0.7696
mem::recurring_journey,mem::flying,0.6378
mem::recurring_journey,mem::being_late,0.8499
mem::recurring_journey,mem::teeth_loosening,0.8679
mem::recurring_journey,mem::cold_water,0.9534
mem::recurring_journey,mem::bright_light,0.9657
mem::recurring_journey,mem::loud_crowd,0.8848
mem::recurring_journey,mem::grief,0.5841
mem::recurring_journey,mem::joy,0.4134
mem::recurring_journey,mem::dread,0.5452
mem::recurring_journey,mem::wonder,0.7194
mem::falling,mem::being_chased,0.9697
mem::falling,mem::flying,0.5761
mem::falling,mem::being_late,0.975
mem::falling,mem::teeth_loosening,0.9569
mem::falling,mem::cold_water,0.7783
mem::falling,mem::bright_light,0.5045
mem::falling,mem::loud_crowd,0.8188
mem::falling,mem::grief,0.9739
mem::falling,mem::dread,0.9767
mem::falling,mem::wonder,0.1717
mem::being_chased,mem::flying,0.5494
mem::being_chased,mem::being_late,0.98
mem::being_chased,mem::teeth_loosening,0.9703
mem::being_chased,mem::cold_water,0.8862
mem::being_chased,mem::bright_light,0.6201
mem::being_chased,mem::loud_crowd,0.9228
mem::being_chased,mem::grief,0.9468
mem::being_chased,mem::dread,0.9347
mem::being_chased,mem::wonder,0.3199
mem::flying,mem::being_late,0.686
mem::flying,mem::teeth_loosening,0.6225
mem::flying,mem::cold_water,0.5465
mem::flying,mem::bright_light,0.8143
mem::flying,mem::loud_crowd,0.4711
mem::flying,mem::joy,0.9596
mem::flying,mem::wonder,0.9722
mem::being_late,mem::teeth_loosening,0.9827
mem::being_late,mem::cold_water,0.9404
mem::being_late,mem::bright_light,0.7201
mem::being_late,mem::loud_crowd,0.9571
mem::being_late,mem::grief,0.9016
mem::being_late,mem::dread,0.8822
mem::being_late,mem::wonder,0.4239
mem::teeth_loosening,mem::cold_water,0.9079
mem::teeth_loosening,mem::bright_light,0.7142
mem::teeth_loosening,mem::loud_crowd,0.8914
mem::teeth_loosening,mem::grief,0.8268
mem::teeth_loosening,mem::dread,0.8182
mem::teeth_loosening,mem::wonder,0.334
mem::cold_water,mem::bright_light,0.9585
mem::cold_water,mem::loud_crowd,0.9878
mem::cold_water,mem::grief,0.7321
mem::cold_water,mem::joy,0.2975
mem::cold_water,mem::dread,0.6909
mem::cold_water,mem::wonder,0.6806
mem::bright_light,mem::loud_crowd,0.9197
mem::bright_light,mem::grief,0.4364
mem::bright_light,mem::joy,0.6355
mem::bright_light,mem::dread,0.3834
mem::bright_light,mem::wonder,0.8671
mem::loud_crowd,mem::grief,0.8067
mem::loud_crowd,mem::joy,0.2227
mem::loud_crowd,mem::dread,0.7659
mem::loud_crowd,mem::wonder,0.635
mem::grief,mem::joy,0.355
mem::grief,mem::dread,0.9979
mem::grief,mem::wonder,0.5885
mem::joy,mem::dread,0.3044
mem::joy,mem::wonder,0.9516
mem::dread,mem::wonder,0.5404
